State,Area,Ever_Tob_Use,Curr_Tob_Use,Ever_Smoke,Curr_Smoke,Ever_Cig,Curr_Cig,Ever_Bidi,Curr_Bidi,Seen_Cig_Ads_POS,Taught_Tob_Effects,Hard_To_Quit,SHS_Harmful,Ban_Indoor,Ban_Outdoor,Aware_COTPA,Fine_Auth,Tobacco_Free_Guideline,Aware_Board_Policy
Tripura,Total,22.6,7.6,10.5,4,5.6,2.7,4.3,1.9,17.8,17.4,21.1,74.4,44.2,43.5,92,48,64,76
Tripura,Urban,13.4,2.4,5.5,2.2,3,0.5,2,1.2,24.4,23.2,27.7,85.4,75.4,73.1,100,50,66.7,100
Tripura,Rural,23.8,8.3,11.1,4.3,5.9,3,4.5,2,17,16.7,20.2,73,40.3,39.8,89.5,47.4,63.2,68.4
Uttar Pradesh,Total,32.2,22.9,23.4,21.2,4,2.3,4.6,1.9,17.5,48,22.9,74.7,57.1,63.3,91.9,59.5,91.9,86.5
Uttar Pradesh,Urban,6.6,2.6,2.8,1.7,0.9,0.6,1.4,0.6,14.2,39.8,19.1,67.6,53.9,58.7,100,70,100,90
Uttar Pradesh,Rural,36.3,26.1,26.7,24.2,4.5,2.5,5.1,2.1,18.1,49.3,23.5,75.8,57.6,64,88.9,55.6,88.9,85.2
Uttarakhand,Total,31.4,18.5,26.6,17.2,13.2,7.3,14.3,5.6,16.7,27.5,25.4,63.4,50.7,56.5,50,14.3,67.9,60.7
Uttarakhand,Urban,39.5,25.7,35.9,24.8,19.4,9.7,22.2,7.7,22.4,35.3,35.4,67.7,60.6,67.4,42.9,0,42.9,57.1
Uttarakhand,Rural,28.2,15.7,22.9,14.2,10.7,6.3,11.3,4.8,14.4,24.4,21.5,61.7,46.9,52.2,52.4,19.1,76.2,61.9
West Bengal,Total,17.3,7.1,9.3,5.2,5.4,3.6,5.5,2.9,21,25.1,19.9,73.7,48.1,49.3,94.3,65.7,85.7,91.4
West Bengal,Urban,18,6.9,9.1,4.1,5,2.2,2.9,1.4,23.4,39.3,26.3,74.1,74.8,74.1,85.7,57.1,71.4,71.4
